FEATURE,DATASET,EXPERIMENT,FINE_TUNING,eval_loss,f1 score
Feature 2,4,1,fine_tuning 1,0.309337212006486,0.784772820302906
Feature 2,4,1,fine_tuning 2,0.3058505489466102,0.768743400211193
Feature 2,4,2,fine_tuning 1,0.454103277722264,0.703864815124644
Feature 2,4,2,fine_tuning 2,0.4132181738797739,0.744431219180411
Feature 3,1,1,fine_tuning 1,0.3655448693735867,0.82192024158451
Feature 3,1,1,fine_tuning 2,0.353404258476289,0.820958351992834
Feature 3,1,2,fine_tuning 1,0.324633549009484,0.736173259352067
Feature 3,1,2,fine_tuning 2,0.2519456970506272,0.798112693947917
Feature 3,2,1,fine_tuning 1,0.3126309025803279,0.811530710593183
Feature 3,2,1,fine_tuning 2,0.3256168393649311,0.823445825932504
Feature 3,2,2,fine_tuning 1,0.308373121004585,0.752701843610934
Feature 3,2,2,fine_tuning 2,0.253063886331373,0.79630314232902
Feature 3,3,1,fine_tuning 1,0.368194931000556,0.799233516244229
Feature 3,3,1,fine_tuning 2,0.3596020774712087,0.814079262345952
Feature 3,3,2,fine_tuning 1,0.277386147356403,0.743828264758497
Feature 3,3,2,fine_tuning 2,0.26745681325358,0.784173322317084
Feature 3,4,1,fine_tuning 1,0.342303623193669,0.80287437899219
Feature 3,4,1,fine_tuning 2,0.359776428170495,0.81269154497926
Feature 3,4,2,fine_tuning 1,0.2812702183308668,0.744569152787835
Feature 3,4,2,fine_tuning 2,0.270133935367031,0.778045614685703
Feature 4,1,1,fine_tuning 1,0.314613524613806,0.805882858862991
Feature 4,1,1,fine_tuning 2,0.303253912585633,0.814814814814814
Feature 4,1,2,fine_tuning 1,0.379810360161012,0.747295022842029
Feature 4,1,2,fine_tuning 2,0.2481478796946569,0.811995762366555
Feature 4,2,1,fine_tuning 1,0.3650809401596608,0.794200848656294
Feature 4,2,1,fine_tuning 2,0.329261412968181,0.817642370029226
Feature 4,2,2,fine_tuning 1,0.403788813948802,0.7235966137914
Feature 4,2,2,fine_tuning 2,0.3271350414160063,0.785810583080552
Feature 4,3,1,fine_tuning 1,0.3335635102900114,0.810242262263988
Feature 4,3,1,fine_tuning 2,0.3152905317196307,0.8150807899461
Feature 4,3,2,fine_tuning 1,0.464953147238702,0.700155190721228
Feature 4,3,2,fine_tuning 2,0.387828537306631,0.744680851063829
