FEATURE,EXPERIMENT,FINE_TUNING,f1_1,f1_2,f1_3,f1_4,mean,variance,standard dev
Feature 13,2,fine_tuning 1,78.96913776646508,81.2883184827924,80.7673060884,81.352376341483,80.59428466978511,0.9318561962413319,0.9653269892846319
Feature 13,2,fine_tuning 2,81.80079681273999,82.7631363561957,81.9595774765033,80.3913769787606,81.7287219060499,0.7292484489501505,0.8539604492891638
Feature 2,1,fine_tuning 1,82.4514400535833,78.56496338352599,82.8367875647668,79.8890429958391,80.9355584994288,3.15687118697692,1.7767586180955814
Feature 2,1,fine_tuning 2,82.5801011804384,82.0757880617035,80.3938978125756,81.0038225029084,81.51340238940648,0.741771528365655,0.8612615911357333
Feature 2,2,fine_tuning 1,73.84376883989322,70.9411570792813,78.5177595628415,75.1532217989067,74.61397682023068,7.403282507754101,2.7208973717790426
Feature 2,2,fine_tuning 2,76.5332417110462,76.24874287629899,74.89871708304999,77.0339338081273,76.17865886963062,0.6250967392181905,0.7906305959284592
Feature 3,1,fine_tuning 1,85.11280866939059,85.98048694734992,85.3323828194617,85.40247948314989,85.45703947983802,0.10275204458017496,0.3205495976914882
Feature 3,1,fine_tuning 2,85.64546346685,85.00220945647371,86.2242152466367,84.885148167631,85.43925908439786,0.2891819273320128,0.5377563828835626
Feature 3,2,fine_tuning 1,86.37718971300781,82.7344757693016,84.7306224993021,83.2112779201757,84.2633914754468,2.032743497112893,1.4257431385466643
Feature 3,2,fine_tuning 2,83.19041032733969,83.25974981604121,84.18509570711758,83.5984640702139,83.55842998017809,0.15474024175243206,0.3933703620666306
Feature 4,1,fine_tuning 1,84.43333035634541,84.4413383419236,84.0766520580905,85.50275482093659,84.61351889432402,0.2852701462174207,0.5341068677871692
Feature 4,1,fine_tuning 2,84.692239072256,84.96306718255359,85.1983679138814,85.03977862331371,84.97336319800118,0.033543728224467516,0.183149469626498
Feature 4,2,fine_tuning 1,79.612935241088,75.14608180581122,77.36876857048532,78.29940906106371,77.60679866961206,2.65401972741104,1.6291162412213072
Feature 4,2,fine_tuning 2,79.4799602517389,79.14948661977522,77.92973548439929,78.54575163398691,78.77623349747508,0.3510575033779346,0.5925010577019544
Feature 5,1,fine_tuning 1,78.43519194870541,78.14994650646031,77.23288320303242,78.8762388401998,78.17356512459948,0.36190981559330726,0.6015894078134248
Feature 5,1,fine_tuning 2,79.41200489995909,79.13765623689281,80.5657156791026,81.96284262267758,80.26955485965803,1.2428802762408266,1.114845404637265
Feature 5,2,fine_tuning 1,73.87858347386171,65.68366771412451,75.5732970952947,72.44107332191501,71.89415540129897,14.085828726027358,3.7531092078471895
Feature 5,2,fine_tuning 2,74.0953184310417,75.983122362869,77.70581216976299,74.944676665847,75.68223240738018,1.8119235650515744,1.3460771021942146
Feature 6,1,fine_tuning 1,82.809339952197,76.5127103472968,81.4733969986357,80.3082502266545,80.275924381196,5.5037399875321835,2.3460051124266936
Feature 6,1,fine_tuning 2,80.98527540447192,83.0056309424905,83.848545820376,81.50778475826272,82.33680923140028,1.3116488145165586,1.1452723756891015
Feature 6,2,fine_tuning 1,78.251821019771,76.3897851940628,71.92145347770229,72.28650137741039,74.71239026723661,7.253872215371711,2.693301359924602
Feature 6,2,fine_tuning 2,75.25404591644708,74.531626785383,73.24685091182552,73.39075669167359,74.1058200763323,0.6872194007582342,0.8289869726106883
Feature 7,1,fine_tuning 1,75.35415325177071,76.4640695592873,78.0984996738421,77.6409483119711,76.8894176992178,1.1411588617510253,1.0682503740935574
Feature 7,1,fine_tuning 2,79.24833954317181,78.61856200188531,79.27824009227979,78.85869105071541,79.00095817201307,0.07613739270847,0.2759300503904386
Feature 7,2,fine_tuning 1,76.58318576608481,76.0129794492054,75.0190985485103,74.621848739495,75.55927812582388,0.6061998941806208,0.7785883984369538
Feature 7,2,fine_tuning 2,73.87805889672329,77.77031564808591,76.5968362548097,73.5212917259265,75.44162563138636,3.2224330051374888,1.7951136468584625
Feature 8,1,fine_tuning 1,85.7240030609641,85.4352584610203,86.22715404699731,86.57857558381109,85.9912477881982,0.19528739465256426,0.44191333387052745
