FEATURE,DATASET,EXPERIMENT,FINE_TUNING,eval_loss,f1 score
Feature 8,2,1,fine_tuning 2,0.1955915406422932,0.87565202759549
Feature 8,2,2,fine_tuning 1,0.1753329748038702,0.832304928532375
Feature 8,2,2,fine_tuning 2,0.155993006713448,0.851222978532425
Feature 8,3,1,fine_tuning 1,0.214649496301503,0.862271540469973
Feature 8,3,1,fine_tuning 2,0.187007335598001,0.87397014438371
Feature 8,3,2,fine_tuning 1,0.207465774299635,0.835865578923733
Feature 8,3,2,fine_tuning 2,0.17537894395483,0.85548523206751
Feature 8,4,1,fine_tuning 1,0.2132169357053712,0.865785755838111
Feature 8,4,1,fine_tuning 2,0.2037191410156939,0.874491236813688
Feature 8,4,2,fine_tuning 1,0.1687020137234118,0.864090451483001
Feature 8,4,2,fine_tuning 2,0.1621596317062914,0.854169976171564
Feature 9,1,1,fine_tuning 1,0.372542475069006,0.771959779927907
Feature 9,1,1,fine_tuning 2,0.41545910418661,0.744998112495281
Feature 9,1,2,fine_tuning 1,0.1923899791215851,0.841315345699831
Feature 9,1,2,fine_tuning 2,0.2217501011680938,0.822222222222222
Feature 9,2,1,fine_tuning 1,0.3379507585555342,0.764438553304298
Feature 9,2,1,fine_tuning 2,0.3749561659544055,0.755409219190968
Feature 9,2,2,fine_tuning 1,0.1818604465477298,0.84900805179712
Feature 9,2,2,fine_tuning 2,0.188761305240297,0.840761182964
Feature 9,3,1,fine_tuning 1,0.39043577312858,0.761657550755539
Feature 9,3,1,fine_tuning 2,0.35871930601784,0.773134328358208
Feature 9,3,2,fine_tuning 1,0.1795583301765659,0.843007592456527
Feature 9,3,2,fine_tuning 2,0.1744836102024076,0.845602176242684
Feature 9,4,1,fine_tuning 1,0.369677619583158,0.777352144258619
Feature 9,4,1,fine_tuning 2,0.418835963391329,0.767189835575485
Feature 9,4,2,fine_tuning 1,0.2212438396253513,0.831429275910249
Feature 9,4,2,fine_tuning 2,0.2129513940809,0.839347503707365
Feature 10,1,1,fine_tuning 1,0.2785982943425872,0.769392712550607
Feature 10,1,1,fine_tuning 2,0.289053974408649,0.788905015320109
Feature 10,1,2,fine_tuning 1,0.41233618567125,0.72986816693257
Feature 10,1,2,fine_tuning 2,0.4425037671984789,0.752125354225704
Feature 10,2,1,fine_tuning 1,0.29031031395211,0.78515204242273
Feature 10,2,1,fine_tuning 2,0.258056590191913,0.8138293364969
Feature 10,2,2,fine_tuning 1,0.54878130107296,0.659833440102498
Feature 10,2,2,fine_tuning 2,0.4205621035285088,0.753071151784978
Feature 10,3,1,fine_tuning 1,0.2933696263486,0.773612945838837
Feature 10,3,1,fine_tuning 2,0.28324653878457,0.79578912739534
Feature 10,3,2,fine_tuning 1,0.442549350664622,0.705872622001654
Feature 10,3,2,fine_tuning 2,0.47046915095287,0.715207678305477
Feature 10,4,1,fine_tuning 1,0.3116500091328977,0.787631668365613
Feature 10,4,1,fine_tuning 2,0.264684518966104,0.79209067593282
Feature 10,4,2,fine_tuning 1,0.420806446805192,0.736886207474442
Feature 10,4,2,fine_tuning 2,0.3873145674562478,0.762812872467222
Feature 11,1,1,fine_tuning 1,0.2206505612818599,0.841746828977611
Feature 11,1,1,fine_tuning 2,0.2060590078690438,0.840845429080723
Feature 11,1,2,fine_tuning 1,0.320279221254168,0.795335942596216
Feature 11,1,2,fine_tuning 2,0.312656132914365,0.797406008865539
Feature 11,2,1,fine_tuning 1,0.226328768903519,0.840990606319385
Feature 11,2,1,fine_tuning 2,0.2196300348304622,0.839883800410116
Feature 11,2,2,fine_tuning 1,0.332399940963916,0.792874148263689
Feature 11,2,2,fine_tuning 2,0.337029054029485,0.781316696765719
Feature 11,3,1,fine_tuning 1,0.233181284000987,0.834217394965058
Feature 11,3,1,fine_tuning 2,0.2097095629741328,0.834341397849462
