,level_0,index,DIST,LAN_1,LAN_2,f1_1,f1_2,f1_3,f1_4,mean,variance,standard dev,common_features
45,76,76,1.0,SCr,Sln,62.99773389446421,64.6623093681917,66.015931785033,62.4559082892416,64.03297083423263,1.971760728749886,1.4041939783199064,11
46,77,77,1.0,SCr,Ukr,55.48191630373031,60.663786331500006,54.079382579933785,57.270360728895,56.873861486014775,6.066841432761846,2.463095904093433,11
47,78,78,1.0,Blg,Cz,70.8140025305778,72.4212700051626,72.89275002585579,72.239247595899,72.0918175393738,0.6011446483469748,0.7753351845150424,11
48,79,79,1.0,Blg,Pol,74.0049240869922,72.84963196635121,75.86273006134961,73.6982918295945,74.10389448607188,1.2102464260185206,1.1001120061241585,11
49,80,80,1.0,Blg,Sln,74.16957026713119,71.63483931066601,74.7896253602305,70.4631379962192,72.76429323356173,3.1619388386719782,1.7781841408223105,11
50,81,81,1.0,Blg,Ukr,58.7839101964452,58.20721769499411,64.72286374133941,59.9713330148112,60.42133116189748,6.572281681701746,2.5636461693653723,11
51,82,82,1.0,Pol,Lit,74.37240777122891,75.5897107482121,76.63139329805992,73.560385390992,75.03847430212323,1.3674109999748374,1.1693635020706081,11
52,83,83,1.0,Arm,Grg,60.420032310177696,58.098804203406196,56.7804646752015,58.7915978286523,58.52272475435942,1.7218118770981676,1.3121782947062368,11
53,84,84,1.0,Ltv,Sln,74.0305257207461,72.6343292059525,74.7552447552447,75.0693160813308,74.12235394081851,0.8799845280308496,0.9380749053411724,11
54,85,85,1.0,Trk,Tat,37.82505910165484,41.27817507015399,51.6462585034013,40.8853424527405,42.908708781987656,27.235230173570194,5.218738369909934,11
55,86,86,1.0,Arm,Tat,32.732586458840714,33.3744426524997,34.28263408498787,36.904995102840346,34.32366457479216,2.5243756562368236,1.5888283910595327,11
56,87,87,1.0,Fr,Grm,72.6653033401499,72.97539595577241,67.6110260336906,71.62826568977151,71.21999775484612,4.590422667378503,2.142527168410824,11
57,88,88,1.0,Tat,Arm,51.3808763962194,43.7912964228753,44.987483609488606,57.01798201798199,49.29440961164133,28.21019517888108,5.311327063821346,11
58,89,91,2.23606797749979,Bsq,Cz,74.60333300069848,73.04015296367109,73.328641801548,74.192889252145,73.79125425451565,0.39973649801792865,0.6322471811071432,7
59,90,92,2.23606797749979,Brt,Bsq,53.69383092155361,64.83410493827161,61.99906147348659,56.56009866235999,59.27177399891795,19.21106363826085,4.383042737444029,7
