,level_0,index,DIST,LAN_1,LAN_2,f1_1,f1_2,f1_3,f1_4,mean,variance,standard dev,common_features
55,86,86,1.0,Arm,Tat,74.70771628994541,80.1580418232629,72.4253075571177,69.67110940646272,74.24054376919719,14.852461571249258,3.85388914880141,11
56,87,87,1.0,Fr,Grm,77.9983457402812,78.909612625538,77.27541954590319,78.8648704026226,78.26206207858624,0.4564273451933239,0.6755940683526787,11
57,88,88,1.0,Tat,Arm,53.94119100568321,48.904042864101314,53.15971807430411,55.35424215919029,52.83979852581973,5.782003331587148,2.404579657983313,11
58,89,91,2.23606797749979,Bsq,Cz,78.34510595358219,77.9338112540508,77.47941983535858,77.2481572481572,77.7516235727872,0.17824672555621124,0.4221927587680907,7
59,90,92,2.23606797749979,Brt,Bsq,65.58926377469038,72.600018916107,64.7190138794525,71.0340775558166,68.48559353151663,11.499778850773627,3.391132384731334,7
60,91,93,2.23606797749979,Brt,Grg,66.3065353246478,65.13199577613511,64.0128410914927,66.6378097608484,65.522295488281,1.072547663632719,1.035638770823456,7
61,92,94,2.23606797749979,Wel,Bsq,66.4747399702823,70.23876668546711,70.54608830364,66.58871674948841,68.46207792721947,3.739679112506277,1.9338249953153146,7
62,93,95,2.23606797749979,Sln,Grk,76.88495575221228,76.6136801541425,78.64447086801421,75.96309111880039,77.02654947329233,0.9847807919455083,0.9923612204966034,7
63,94,96,2.23606797749979,Brt,SCr,66.31429676421291,62.63397807071569,66.08223237436701,62.470159567784,64.37516669426991,3.333772159769814,1.825862031964577,7
64,95,97,2.23606797749979,Arm,Bsq,63.2170076213397,47.531231409875,59.853733641262494,55.928666287232,56.6326597399273,34.265139632459785,5.853643278545404,7
65,96,98,2.23606797749979,Arm,Blg,73.49104974363578,72.6328707637118,72.7485801857026,78.24424005099709,74.27918518601182,5.348980100479332,2.3127862202286082,7
66,97,99,2.23606797749979,Arm,SCr,69.67775333247049,60.01544799176099,62.38252476504951,66.1429491307147,64.55466880499893,13.52284119757363,3.6773415938111635,7
67,98,100,2.23606797749979,Bsq,Arm,52.6493663246831,53.368560105680295,51.64587046939979,56.37649353816141,53.51007260948115,3.1131149142207484,1.7644021407323072,7
68,99,101,2.23606797749979,Bsq,Est,81.39581256231301,81.51677199805542,80.6347930895942,79.5014955134596,80.76221829085556,0.6441130253085562,0.8025665239147196,7
69,100,102,2.23606797749979,Bsq,Wel,60.723350253807,55.92665356908969,56.7508232711306,63.1692109223822,59.14250950410237,8.693818554911617,2.9485282014780894,7
70,101,103,2.23606797749979,Arm,Lit,60.68877279027609,63.0979978925184,64.1701750498559,61.9147758716104,62.4679304010652,1.6915009064019682,1.300577143579714,7
71,102,104,2.23606797749979,Bsq,Brt,77.0261909672097,77.79310344827579,78.6153685747054,76.7958115183246,77.55761862712887,0.5092633703351588,0.7136269125636721,7
72,103,105,2.23606797749979,Ltv,Est,80.0553469065032,79.1869453192098,81.7460317460317,80.3353196646803,80.33091090910625,0.8467948026560148,0.9202145416455962,7
73,104,106,2.23606797749979,Ltv,Arm,45.840485181370795,43.7932625749884,40.365317397677,46.5750120598166,44.1435193034632,5.797334907927517,2.4077655425575633,7
74,105,107,2.23606797749979,Lit,Grm,77.686123003028,75.36111399771379,77.236787349146,78.29045290240269,77.14361931307262,1.1988857543647908,1.0949364156720658,7
75,106,108,2.23606797749979,Bsq,Ukr,65.3491941673062,66.5783747989783,63.205030487804805,66.57882352941171,65.42785574587525,1.898890175537721,1.378002240759325,7
