feature,average_dist_over_feat,language,index_org,Hasfeature,dist
6,0.7242640687119285,Ltv,15,False,1.0
6,0.7242640687119285,Lit,16,True,0.0
6,0.7242640687119285,SCr,17,False,1.0
6,0.7242640687119285,Blg,18,False,1.0
6,0.7242640687119285,Pol,19,False,0.0
6,0.7242640687119285,Sln,20,False,0.0
6,0.7242640687119285,Ukr,21,False,0.0
7,0.8878315177510849,Rom,9,True,1.7320508075688772
7,0.8878315177510849,Rus,10,True,1.7320508075688772
7,0.8878315177510849,Cz,14,True,1.4142135623730951
7,0.8878315177510849,Ltv,15,True,1.0
7,0.8878315177510849,Lit,16,True,1.0
7,0.8878315177510849,SCr,17,True,1.0
7,0.8878315177510849,Blg,18,True,1.0
7,0.8878315177510849,Pol,19,True,0.0
7,0.8878315177510849,Sln,20,True,0.0
7,0.8878315177510849,Ukr,21,True,0.0
8,0.8878315177510849,Prt,6,True,1.7320508075688772
8,0.8878315177510849,It,7,True,1.7320508075688772
8,0.8878315177510849,Cz,14,False,1.4142135623730951
8,0.8878315177510849,Ltv,15,False,1.0
8,0.8878315177510849,Lit,16,False,1.0
8,0.8878315177510849,SCr,17,False,1.0
8,0.8878315177510849,Blg,18,False,1.0
8,0.8878315177510849,Pol,19,False,0.0
8,0.8878315177510849,Sln,20,False,0.0
8,0.8878315177510849,Ukr,21,False,0.0
9,0.7560477932315066,Alb,8,True,1.7320508075688772
9,0.7560477932315066,Rus,10,True,1.4142135623730951
9,0.7560477932315066,Cz,14,False,1.4142135623730951
9,0.7560477932315066,Ltv,15,True,0.0
9,0.7560477932315066,Lit,16,False,1.0
9,0.7560477932315066,SCr,17,False,1.0
9,0.7560477932315066,Blg,18,False,1.0
9,0.7560477932315066,Pol,19,False,0.0
9,0.7560477932315066,Sln,20,False,0.0
9,0.7560477932315066,Ukr,21,False,0.0
10,0.8878315177510849,Rom,9,True,1.7320508075688772
10,0.8878315177510849,Rus,10,True,1.7320508075688772
10,0.8878315177510849,Cz,14,True,1.4142135623730951
10,0.8878315177510849,Ltv,15,True,1.0
10,0.8878315177510849,Lit,16,True,1.0
10,0.8878315177510849,SCr,17,True,1.0
10,0.8878315177510849,Blg,18,True,1.0
10,0.8878315177510849,Pol,19,True,0.0
10,0.8878315177510849,Sln,20,True,0.0
10,0.8878315177510849,Ukr,21,True,0.0
11,0.8560477932315067,Rom,9,False,1.7320508075688772
11,0.8560477932315067,Rus,10,True,1.4142135623730951
11,0.8560477932315067,Cz,14,False,1.4142135623730951
11,0.8560477932315067,Ltv,15,False,1.0
11,0.8560477932315067,Lit,16,False,1.0
11,0.8560477932315067,SCr,17,False,1.0
11,0.8560477932315067,Blg,18,False,1.0
11,0.8560477932315067,Pol,19,False,0.0
11,0.8560477932315067,Sln,20,False,0.0
11,0.8560477932315067,Ukr,21,False,0.0
12,0.8878315177510849,Rom,9,True,1.7320508075688772
12,0.8878315177510849,Rus,10,True,1.7320508075688772
12,0.8878315177510849,Cz,14,True,1.4142135623730951
12,0.8878315177510849,Ltv,15,True,1.0
12,0.8878315177510849,Lit,16,True,1.0
12,0.8878315177510849,SCr,17,True,1.0
12,0.8878315177510849,Blg,18,True,1.0
12,0.8878315177510849,Pol,19,True,0.0
12,0.8878315177510849,Sln,20,True,0.0
12,0.8878315177510849,Ukr,21,True,0.0
